!Series_title	"ImmGen ULI: OpenSource Mononuclear Phagocytes Project"
!Series_geo_accession	"GSE122108"
!Series_status	"Public on Nov 03 2018"
!Series_submission_date	"Nov 02 2018"
!Series_last_update_date	"Jan 29 2023"
!Series_pubmed_id	"27327993"
!Series_pubmed_id	"36708514"
!Series_summary	"Primary RNASeq data for progenitor, resident, and stimulated (C.alb, LPS, injury, APAP+ starved overnight and pIC) mononuclear phagocytes from fourteen organs."
!Series_overall_design	"RNASeq data for over 400 samples comprising of 130 populations submitted by 16 labs (both non-ImmGen and ImmGen labs) from 8 locations around the world for ImmGen OpenSource Mononuclear Project. Samples were sorted in these facilities using ImmGen’s stringent ULI protocol and shipped to one location for library preparation and sequencing."
!Series_overall_design	""
!Series_overall_design	"Contributor: Immunological Genome Project Consortium"
!Series_type	"Expression profiling by high throughput sequencing"
!Series_sample_id	"GSM3455025 GSM3455026 GSM3455027 GSM3455028 GSM3455029 GSM3455030 GSM3455031 GSM3455032 GSM3455033 GSM3455034 GSM3455035 GSM3455036 GSM3455037 GSM3455038 GSM3455039 GSM3455040 GSM3455041 GSM3455042 GSM3455043 GSM3455044 GSM3455045 GSM3455046 GSM3455047 GSM3455048 GSM3455049 GSM3455050 GSM3455051 GSM3455052 GSM3455053 GSM3455054 GSM3455055 GSM3455056 GSM3455057 GSM3455058 GSM3455059 GSM3455060 GSM3455061 GSM3455062 GSM3455063 GSM3455064 GSM3455065 GSM3455066 GSM3455067 GSM3455068 GSM3455069 GSM3455070 GSM3455071 GSM3455072 GSM3455073 GSM3455074 GSM3455075 GSM3455076 GSM3455077 GSM3455078 GSM3455079 GSM3455080 GSM3455081 GSM3455082 GSM3455083 GSM3455084 GSM3455085 GSM3455086 GSM3455087 GSM3455088 GSM3455089 GSM3455090 GSM3455091 GSM3455092 GSM3455093 GSM3455094 GSM3455095 GSM3455096 GSM3455097 GSM3455098 GSM3455099 GSM3455100 GSM3455101 GSM3455102 GSM3455103 GSM3455104 GSM3455105 GSM3455106 GSM3455107 GSM3455108 GSM3455109 GSM3455110 GSM3455111 GSM3455112 GSM3455113 GSM3455114 GSM3455115 GSM3455116 GSM3455117 GSM3455118 GSM3455119 GSM3455120 GSM3455121 GSM3455122 GSM3455123 GSM3455124 GSM3455125 GSM3455126 GSM3455127 GSM3455128 GSM3455129 GSM3455130 GSM3455131 GSM3455132 GSM3455133 GSM3455134 GSM3455135 GSM3455136 GSM3455137 GSM3455138 GSM3455139 GSM3455140 GSM3455141 GSM3455142 GSM3455143 GSM3455144 GSM3455145 GSM3455146 GSM3455147 GSM3455148 GSM3455149 GSM3455150 GSM3455151 GSM3455152 GSM3455153 GSM3455154 GSM3455155 GSM3455156 GSM3455157 GSM3455158 GSM3455159 GSM3455160 GSM3455161 GSM3455162 GSM3455163 GSM3455164 GSM3455165 GSM3455166 GSM3455167 GSM3455168 GSM3455169 GSM3455170 GSM3455171 GSM3455172 GSM3455173 GSM3455174 GSM3455175 GSM3455176 GSM3455177 GSM3455178 GSM3455179 GSM3455180 GSM3455181 GSM3455182 GSM3455183 GSM3455184 GSM3455185 GSM3455186 GSM3455187 GSM3455188 GSM3455189 GSM3455190 GSM3455191 GSM3455192 GSM3455193 GSM3455194 GSM3455195 GSM3455196 GSM3455197 GSM3455198 GSM3455199 GSM3455200 GSM3455201 GSM3455202 GSM3455203 GSM3455204 GSM3455205 GSM3455206 GSM3455207 GSM3455208 GSM3455209 GSM3455210 GSM3455211 GSM3455212 GSM3455213 GSM3455214 GSM3455215 GSM3455216 GSM3455217 GSM3455218 GSM3455219 GSM3455220 GSM3455221 GSM3455222 GSM3455223 GSM3455224 GSM3455225 GSM3455226 GSM3455227 GSM3455228 GSM3455229 GSM3455230 GSM3455231 GSM3455232 GSM3455233 GSM3455234 GSM3455235 GSM3455236 GSM3455237 GSM3455238 GSM3455239 GSM3455240 GSM3455241 GSM3455242 GSM3455243 GSM3455244 GSM3455245 GSM3455246 GSM3455247 GSM3455248 GSM3455249 GSM3455250 GSM3455251 GSM3455252 GSM3455253 GSM3455254 GSM3455255 GSM3455256 GSM3455257 GSM3455258 GSM3455259 GSM3455260 GSM3455261 GSM3455262 GSM3455263 GSM3455264 GSM3455265 GSM3455266 GSM3455267 GSM3455268 GSM3455269 GSM3455270 GSM3455271 GSM3455272 GSM3455273 GSM3455274 GSM3455275 GSM3455276 GSM3455277 GSM3455278 GSM3455279 GSM3455280 GSM3455281 GSM3455282 GSM3455283 GSM3455284 GSM3455285 GSM3455286 GSM3455287 GSM3455288 GSM3455289 GSM3455290 GSM3455291 GSM3455292 GSM3455293 GSM3455294 GSM3455295 GSM3455296 GSM3455297 GSM3455298 GSM3455299 GSM3455300 GSM3455301 GSM3455302 GSM3455303 GSM3455304 GSM3455305 GSM3455306 GSM3455307 GSM3455308 GSM3455309 GSM3455310 GSM3455311 GSM3455312 GSM3455313 GSM3455314 GSM3455315 GSM3455316 GSM3455317 GSM3455318 GSM3455319 GSM3455320 GSM3455321 GSM3455322 GSM3455323 GSM3455324 GSM3455325 GSM3455326 GSM3455327 GSM3455328 GSM3455329 GSM3455330 GSM3455331 GSM3455332 GSM3455333 GSM3455334 GSM3455335 GSM3455336 GSM3455337 GSM3455338 GSM3455339 GSM3455340 GSM3455341 GSM3455342 GSM3455343 GSM3455344 GSM3455345 GSM3455346 GSM3455347 GSM3455348 GSM3455349 GSM3455350 GSM3455351 GSM3455352 GSM3455353 GSM3455354 GSM3455355 GSM3455356 GSM3455357 GSM3455358 GSM3455359 GSM3455360 GSM3455361 GSM3455362 GSM3455363 GSM3455364 GSM3455365 GSM3455366 GSM3455367 GSM3455368 GSM3455369 GSM3455370 GSM3455371 GSM3455372 GSM3455373 GSM3455374 GSM3455375 GSM3455376 GSM3455377 GSM3455378 GSM3455379 GSM3455380 GSM3455381 GSM3455382 GSM3455383 GSM3455384 GSM3455385 GSM3455386 GSM3455387 GSM3455388 GSM3455389 GSM3455390 GSM3455391 GSM3455392 GSM3455393 GSM3455394 GSM3455395 GSM3455396 GSM3455397 GSM3455398 GSM3455399 GSM3455400 GSM3455401 GSM3455402 GSM3455403 GSM3455404 GSM3455405 GSM3455406 GSM3455409 GSM3455410 GSM3455411 GSM3455412 GSM3455413 GSM3455414 GSM3455415 GSM3455416 GSM3455417 GSM3455418 GSM3455419 GSM3455420 GSM3455421 GSM3455422 GSM3455423 GSM3455424 GSM3455425 GSM3455426 GSM3455427 GSM3455428 GSM3455429 GSM3455430 GSM3455431 GSM3455432 GSM3455433 GSM3455434 GSM3455435 GSM3455436 GSM3455437 GSM3455438 "
!Series_contact_name	"Liang,,Yang"
!Series_contact_laboratory	"CBDM"
!Series_contact_department	"Pathology"
!Series_contact_institute	"Harvard Medical School"
!Series_contact_address	"77 Avenue Louis Pasteur"
!Series_contact_city	"Boston"
!Series_contact_state	"MA"
!Series_contact_zip/postal_code	"02115"
!Series_contact_country	"USA"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122108/suppl/GSE122108_Gene_count_table.csv.gz"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122108/suppl/GSE122108_Gene_count_table_GENCODE_vM25.csv.gz"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122108/suppl/GSE122108_readme_GENCODE_vM25.txt"
!Series_platform_id	"GPL19057"
!Series_platform_taxid	"10090"
!Series_sample_taxid	"10090"
!Series_relation	"SubSeries of: GSE127267"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA503607"
!Series_relation	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP167701"

